Vacc Period,Gender,Age,Past PCR tests,Sector,Epi Week,N_person,Rate_Positive_1K
JanB,female,16-39,0,General Jewish,07-11_07-17,25588,0.39080819133969047
JanB,female,16-39,0,General Jewish,07-18_07-24,25578,1.172882946281961
JanB,female,16-39,0,General Jewish,07-25_07-31,25548,1.1742602160638798
JanB,female,16-39,0,Arab,07-11_07-17,2464,0
JanB,female,16-39,0,Arab,07-18_07-24,2464,0
JanB,female,16-39,0,Arab,07-25_07-31,2464,1.2175324675324675
JanB,female,16-39,0,ultra-Orthodox Jewish,07-11_07-17,1135,0
JanB,female,16-39,0,ultra-Orthodox Jewish,07-18_07-24,1135,0
JanB,female,16-39,0,ultra-Orthodox Jewish,07-25_07-31,1135,0
JanB,female,16-39,1,General Jewish,07-11_07-17,11516,0.9551927752691907
JanB,female,16-39,1,General Jewish,07-18_07-24,11505,2.2598870056497176
JanB,female,16-39,1,General Jewish,07-25_07-31,11479,2.8748148793448904
JanB,female,16-39,1,Arab,07-11_07-17,1474,0.6784260515603798
JanB,female,16-39,1,Arab,07-18_07-24,1473,0
JanB,female,16-39,1,Arab,07-25_07-31,1473,0
JanB,female,16-39,1,ultra-Orthodox Jewish,07-11_07-17,657,0
JanB,female,16-39,1,ultra-Orthodox Jewish,07-18_07-24,657,0
JanB,female,16-39,1,ultra-Orthodox Jewish,07-25_07-31,657,4.5662100456621
JanB,female,16-39,2+,General Jewish,07-11_07-17,14001,0.7856581672737661
JanB,female,16-39,2+,General Jewish,07-18_07-24,13990,0.9292351679771265
JanB,female,16-39,2+,General Jewish,07-25_07-31,13977,2.2894755670029334
JanB,female,16-39,2+,Arab,07-11_07-17,2724,0
JanB,female,16-39,2+,Arab,07-18_07-24,2724,0.7342143906020557
JanB,female,16-39,2+,Arab,07-25_07-31,2722,1.4695077149155031
JanB,female,16-39,2+,ultra-Orthodox Jewish,07-11_07-17,924,0
JanB,female,16-39,2+,ultra-Orthodox Jewish,07-18_07-24,924,0
JanB,female,16-39,2+,ultra-Orthodox Jewish,07-25_07-31,924,2.1645021645021645
FebA,female,16-39,0,General Jewish,07-11_07-17,43810,0.6391234877881762
FebA,female,16-39,0,General Jewish,07-18_07-24,43782,1.2562240190032434
FebA,female,16-39,0,General Jewish,07-25_07-31,43727,2.0810940608777186
FebA,female,16-39,0,Arab,07-11_07-17,6940,0.4322766570605187
FebA,female,16-39,0,Arab,07-18_07-24,6937,0.14415453366008363
FebA,female,16-39,0,Arab,07-25_07-31,6936,1.2975778546712802
FebA,female,16-39,0,ultra-Orthodox Jewish,07-11_07-17,1814,0
FebA,female,16-39,0,ultra-Orthodox Jewish,07-18_07-24,1814,0.5512679162072768
FebA,female,16-39,0,ultra-Orthodox Jewish,07-25_07-31,1813,1.1031439602868176
FebA,female,16-39,1,General Jewish,07-11_07-17,20233,0.9390599515642761
FebA,female,16-39,1,General Jewish,07-18_07-24,20214,1.830414564163451
FebA,female,16-39,1,General Jewish,07-25_07-31,20177,2.924121524508103
FebA,female,16-39,1,Arab,07-11_07-17,3506,0.2852253280091272
FebA,female,16-39,1,Arab,07-18_07-24,3505,0.28530670470756064
FebA,female,16-39,1,Arab,07-25_07-31,3504,1.141552511415525
FebA,female,16-39,1,ultra-Orthodox Jewish,07-11_07-17,1036,0
FebA,female,16-39,1,ultra-Orthodox Jewish,07-18_07-24,1036,0.9652509652509653
FebA,female,16-39,1,ultra-Orthodox Jewish,07-25_07-31,1035,0.966183574879227
FebA,female,16-39,2+,General Jewish,07-11_07-17,14560,1.1675824175824177
FebA,female,16-39,2+,General Jewish,07-18_07-24,14543,1.5815168809736644
FebA,female,16-39,2+,General Jewish,07-25_07-31,14520,1.3085399449035813
FebA,female,16-39,2+,Arab,07-11_07-17,3098,0.32278889606197547
FebA,female,16-39,2+,Arab,07-18_07-24,3097,0.9686793671294801
FebA,female,16-39,2+,Arab,07-25_07-31,3094,2.585649644473174
FebA,female,16-39,2+,ultra-Orthodox Jewish,07-11_07-17,1015,0.9852216748768472
FebA,female,16-39,2+,ultra-Orthodox Jewish,07-18_07-24,1014,0.9861932938856016
FebA,female,16-39,2+,ultra-Orthodox Jewish,07-25_07-31,1013,0
