Vacc Period,Gender,Age,Past PCR tests,Sector,Epi Week,N_person,Rate_Severe_1K
Jan,female,16-39,0,General Jewish,07-11_07-17,25588,0
Jan,female,16-39,0,General Jewish,07-18_07-24,25578,0
Jan,female,16-39,0,General Jewish,07-25_07-31,25548,0
Jan,female,16-39,0,Arab,07-11_07-17,2464,0
Jan,female,16-39,0,Arab,07-18_07-24,2464,0
Jan,female,16-39,0,Arab,07-25_07-31,2464,0
Jan,female,16-39,0,ultra-Orthodox Jewish,07-11_07-17,1135,0
Jan,female,16-39,0,ultra-Orthodox Jewish,07-18_07-24,1135,0
Jan,female,16-39,0,ultra-Orthodox Jewish,07-25_07-31,1135,0
Jan,female,16-39,1,General Jewish,07-11_07-17,11516,0
Jan,female,16-39,1,General Jewish,07-18_07-24,11505,0
Jan,female,16-39,1,General Jewish,07-25_07-31,11479,0
Jan,female,16-39,1,Arab,07-11_07-17,1474,0
Jan,female,16-39,1,Arab,07-18_07-24,1473,0
Jan,female,16-39,1,Arab,07-25_07-31,1473,0
Jan,female,16-39,1,ultra-Orthodox Jewish,07-11_07-17,657,0
Jan,female,16-39,1,ultra-Orthodox Jewish,07-18_07-24,657,0
Jan,female,16-39,1,ultra-Orthodox Jewish,07-25_07-31,657,0
Jan,female,16-39,2+,General Jewish,07-11_07-17,14001,0.07142346975216056
Jan,female,16-39,2+,General Jewish,07-18_07-24,13990,0
Jan,female,16-39,2+,General Jewish,07-25_07-31,13977,0
Jan,female,16-39,2+,Arab,07-11_07-17,2724,0
Jan,female,16-39,2+,Arab,07-18_07-24,2724,0
Jan,female,16-39,2+,Arab,07-25_07-31,2722,0
Jan,female,16-39,2+,ultra-Orthodox Jewish,07-11_07-17,924,0
Jan,female,16-39,2+,ultra-Orthodox Jewish,07-18_07-24,924,0
Jan,female,16-39,2+,ultra-Orthodox Jewish,07-25_07-31,924,0
Feb,female,16-39,0,General Jewish,07-11_07-17,127831,0
Feb,female,16-39,0,General Jewish,07-18_07-24,127755,0
Feb,female,16-39,0,General Jewish,07-25_07-31,127635,0
Feb,female,16-39,0,Arab,07-11_07-17,18312,0
Feb,female,16-39,0,Arab,07-18_07-24,18309,0.054617947457534545
Feb,female,16-39,0,Arab,07-25_07-31,18306,0
Feb,female,16-39,0,ultra-Orthodox Jewish,07-11_07-17,8275,0
Feb,female,16-39,0,ultra-Orthodox Jewish,07-18_07-24,8274,0
Feb,female,16-39,0,ultra-Orthodox Jewish,07-25_07-31,8269,0
Feb,female,16-39,1,General Jewish,07-11_07-17,55795,0
Feb,female,16-39,1,General Jewish,07-18_07-24,55751,0
